root,first,last,days,rolls,bad_successors,max_gap_days,basis_mean
ES,1982-09-14,2024-03-28,10713,166,0,7,0.0018
NQ,1999-12-14,2024-03-28,6288,97,0,7,0.0035
YM,2002-06-12,2024-03-28,6186,87,0,5,0.00127
ZN,1982-08-30,2024-03-28,10559,166,0,7,-0.00611
ZB,2010-03-03,2024-03-28,4157,56,0,4,0.00358
ZF,1989-05-31,2024-03-28,8859,139,0,7,-0.00424
GC,1975-04-01,2024-03-28,12400,294,0,7,0.0079
SI,1970-06-15,2024-03-28,14241,268,0,6,0.00866
HG,1995-09-01,2024-03-28,7622,114,0,5,-0.00038
CL,1990-10-16,2024-03-28,8604,33,0,7,-0.01837
NG,1990-07-26,2024-03-28,8536,310,0,7,0.01668
ZC,1972-10-18,2024-03-28,13022,51,0,17,0.01912
ZW,1973-12-19,2024-03-28,12752,50,0,5,0.04246
6E,1999-06-15,2024-03-28,6246,99,0,14,0.00192
6J,1977-06-14,2024-03-28,11901,187,0,7,0.00719
6B,1975-12-16,2024-03-28,12326,193,0,5,-0.00282
