instrument,first_date,last_date,rows
COPPER,1995-09-01,2024-03-28,52996
CORN,1972-10-18,2024-03-28,38904
CRUDE_W,1990-10-16,2024-03-28,46418
DOW,2002-06-12,2024-03-28,70491
EUR,1999-06-15,2024-03-28,46267
GAS_US,1990-07-26,2024-03-28,59105
GBP,1975-12-16,2024-03-28,60311
GOLD,1975-04-01,2024-03-28,51853
JPY,1977-06-14,2024-03-28,56916
NASDAQ,1999-12-14,2024-03-28,52574
SILVER,1970-06-15,2024-03-28,82261
SP500,1982-09-14,2024-03-28,35898
US10,1982-08-30,2024-03-28,49720
US30,2010-03-03,2024-03-28,61908
US5,1989-05-31,2024-03-28,47491
WHEAT,1973-12-19,2024-03-28,48265
