window,method,date,ret
develop_validate,baseline,2010-01-03,0.0
develop_validate,baseline,2010-01-04,0.0
develop_validate,baseline,2010-01-05,0.0
develop_validate,baseline,2010-01-06,0.0
develop_validate,baseline,2010-01-07,0.0
develop_validate,baseline,2010-01-08,0.0
develop_validate,baseline,2010-01-10,0.0
develop_validate,baseline,2010-01-11,0.0
develop_validate,baseline,2010-01-12,0.0
develop_validate,baseline,2010-01-13,0.0
develop_validate,baseline,2010-01-14,0.0
develop_validate,baseline,2010-01-15,0.0
develop_validate,baseline,2010-01-17,0.0
develop_validate,baseline,2010-01-18,0.0
develop_validate,baseline,2010-01-19,0.0
develop_validate,baseline,2010-01-20,0.0
develop_validate,baseline,2010-01-21,0.0
develop_validate,baseline,2010-01-22,0.0
develop_validate,baseline,2010-01-24,0.0
develop_validate,baseline,2010-01-25,0.0
develop_validate,baseline,2010-01-26,0.0
develop_validate,baseline,2010-01-27,0.0
develop_validate,baseline,2010-01-28,0.0
develop_validate,baseline,2010-01-29,0.0
develop_validate,baseline,2010-01-31,0.0
develop_validate,baseline,2010-02-01,0.0
develop_validate,baseline,2010-02-02,0.0
develop_validate,baseline,2010-02-03,0.0
develop_validate,baseline,2010-02-04,0.0
develop_validate,baseline,2010-02-05,0.0
develop_validate,baseline,2010-02-07,-9.25e-06
develop_validate,baseline,2010-02-08,6.979e-05
develop_validate,baseline,2010-02-09,-3.279e-05
develop_validate,baseline,2010-02-10,0.0002206
develop_validate,baseline,2010-02-11,0.00011816
develop_validate,baseline,2010-02-12,0.00038042
develop_validate,baseline,2010-02-14,-1.858e-05
develop_validate,baseline,2010-02-15,4.611e-05
develop_validate,baseline,2010-02-16,0.00115975
develop_validate,baseline,2010-02-17,0.00107515
develop_validate,baseline,2010-02-18,-0.00084282
develop_validate,baseline,2010-02-19,-0.00032286
develop_validate,baseline,2010-02-21,0.00032548
develop_validate,baseline,2010-02-22,0.00088142
develop_validate,baseline,2010-02-23,-0.0004884
develop_validate,baseline,2010-02-24,-0.00059184
develop_validate,baseline,2010-02-25,-0.00074892
develop_validate,baseline,2010-02-26,0.00317656
develop_validate,baseline,2010-02-28,0.00020668
develop_validate,baseline,2010-03-01,-0.00187532
develop_validate,baseline,2010-03-02,0.00191762
develop_validate,baseline,2010-03-03,0.00274834
develop_validate,baseline,2010-03-04,-0.00324684
develop_validate,baseline,2010-03-05,0.00062791
develop_validate,baseline,2010-03-07,0.00059442
develop_validate,baseline,2010-03-08,-0.00058645
develop_validate,baseline,2010-03-09,-0.00056529
develop_validate,baseline,2010-03-10,-0.00060793
develop_validate,baseline,2010-03-11,-0.00030441
develop_validate,baseline,2010-03-12,0.00097559
develop_validate,baseline,2010-03-14,0.00014827
develop_validate,baseline,2010-03-15,-0.0020165
develop_validate,baseline,2010-03-16,0.00418545
develop_validate,baseline,2010-03-17,0.00265729
develop_validate,baseline,2010-03-18,-0.00238933
develop_validate,baseline,2010-03-19,-0.00310434
develop_validate,baseline,2010-03-21,-0.0005132
develop_validate,baseline,2010-03-22,0.00159724
develop_validate,baseline,2010-03-23,-0.00031047
develop_validate,baseline,2010-03-24,-0.00488201
develop_validate,baseline,2010-03-25,-0.00294143
develop_validate,baseline,2010-03-26,0.00126575
develop_validate,baseline,2010-03-28,-5.78e-06
develop_validate,baseline,2010-03-29,0.00307454
develop_validate,baseline,2010-03-30,0.00069791
develop_validate,baseline,2010-03-31,-0.00158428
develop_validate,baseline,2010-04-01,0.00351159
develop_validate,baseline,2010-04-02,-0.00181101
develop_validate,baseline,2010-04-04,0.00024744
develop_validate,baseline,2010-04-05,0.00386347
develop_validate,baseline,2010-04-06,0.00012811
develop_validate,baseline,2010-04-07,0.00156407
develop_validate,baseline,2010-04-08,-0.00160713
