instrument,asset,stem,published_start,published_mean,published_vol,first_adjusted,mean_adjusted,vol_adjusted,vol_ratio_adjusted,first_naive,mean_naive,vol_naive,vol_ratio_naive
ALUMINUM,COM,ALUMINIUM_LME,Jan-79,0.97,23.5,,,,,,,,
BRENTOIL,COM,BRENT_W,Apr-89,13.87,32.51,1989-08-11,12.11,34.31,1.06,1989-08-11,9.91,32.36,1.0
CATTLE,COM,LIVECOW,Jan-65,4.52,17.14,1971-10-21,3.23,13.72,0.8,1971-10-21,4.54,15.37,0.9
COCOA,COM,COCOA,Jan-65,5.61,32.38,,,,,1970-03-25,9.55,30.92,0.95
COFFEE,COM,COFFEE,Mar-74,5.72,38.62,2007-02-20,-0.69,29.25,0.76,2007-02-20,6.86,29.35,0.76
COPPER,COM,COPPER,Jan-77,8.9,27.39,1995-09-01,6.89,25.19,0.92,1995-09-01,7.11,25.23,0.92
CORN,COM,CORN,Jan-65,3.19,24.37,1972-10-18,0.27,23.76,0.98,1972-10-18,5.62,26.08,1.07
COTTON,COM,COTTON2,Aug-67,1.41,24.35,,,,,1970-03-10,6.11,26.93,1.11
CRUDE,COM,CRUDE_W,Mar-83,11.61,34.72,1990-10-16,9.77,25.27,0.73,1990-10-16,6.67,26.18,0.75
GASOIL,COM,GASOIL,Oct-84,11.95,33.18,2015-01-12,12.18,34.88,1.05,1986-06-16,9.73,31.05,0.94
GOLD,COM,GOLD,Dec-69,5.36,21.37,1975-04-01,2.05,18.63,0.87,1975-04-01,6.89,18.66,0.87
HEATOIL,COM,HEATOIL,Dec-78,9.79,33.78,2021-05-17,26.43,31.63,0.94,1980-02-19,7.32,30.17,0.89
HOGS,COM,LEANHOG,Feb-66,3.39,26.01,2020-05-27,13.54,25.08,0.96,1974-07-22,5.04,25.68,0.99
NATGAS,COM,GAS_US,Apr-90,9.74,53.3,1990-07-26,-6.5,45.93,0.86,1990-07-26,13.15,48.76,0.91
NICKEL,COM,NICKEL_LME,Jan-93,12.69,35.76,,,,,,,,
SILVER,COM,SILVER,Jan-65,3.17,31.11,2020-12-01,3.06,27.7,0.89,1970-06-15,10.13,32.36,1.04
SOYBEANS,COM,SOYBEAN,Jan-65,5.57,27.26,1985-09-20,4.74,20.16,0.74,1985-09-20,4.32,21.15,0.78
SOYMEAL,COM,SOYMEAL,Sep-83,6.14,24.59,2021-02-01,5.18,20.33,0.83,1970-05-05,7.13,30.26,1.23
SOYOIL,COM,SOYOIL,Oct-90,1.07,25.39,2021-02-01,16.01,30.64,1.21,1970-02-03,7.07,29.04,1.14
SUGAR,COM,SUGAR11,Jan-65,4.44,42.87,1970-02-16,6.93,36.63,0.85,1970-02-16,10.35,38.37,0.9
UNLEADED,COM,GASOILINE,Dec-84,15.92,37.36,1985-01-15,15.0,34.89,0.93,1985-01-15,9.73,34.99,0.94
WHEAT,COM,WHEAT,Jan-65,1.84,25.11,1973-12-19,-1.3,23.53,0.94,1973-12-19,3.51,24.77,0.99
ZINC,COM,ZINC_LME,Jan-91,1.98,24.76,,,,,,,,
