window,construction,asset,n_instruments,mean_monthly_pct,vol_annual_pct,sharpe_gross,sharpe_2bps,published_monthly_pct
1985-01-01..2009-12-31,adjusted,ALL,31,1.454,13.72,1.2,1.19,0.83
1985-01-01..2009-12-31,adjusted,COM,12,1.317,18.56,0.84,0.84,0.59
1985-01-01..2009-12-31,adjusted,EQ,3,1.875,36.46,0.59,0.59,1.0
1985-01-01..2009-12-31,adjusted,FI,7,1.662,32.87,0.62,0.61,1.05
1985-01-01..2009-12-31,adjusted,FX,9,1.458,26.71,0.66,0.65,0.96
2010-01-01..2016-12-31,adjusted,ALL,34,0.712,16.12,0.58,0.56,
2010-01-01..2016-12-31,adjusted,COM,13,0.489,20.57,0.28,0.27,
2010-01-01..2016-12-31,adjusted,EQ,5,0.055,25.99,0.05,0.04,
2010-01-01..2016-12-31,adjusted,FI,7,2.325,29.73,0.88,0.86,
2010-01-01..2016-12-31,adjusted,FX,9,0.068,24.01,0.0,-0.01,
2010-01-01..2024-03-31,adjusted,ALL,46,0.607,16.86,0.46,0.43,
2010-01-01..2024-03-31,adjusted,COM,18,0.454,21.42,0.24,0.24,
2010-01-01..2024-03-31,adjusted,EQ,8,0.108,26.81,0.05,0.04,
2010-01-01..2024-03-31,adjusted,FI,11,1.692,31.3,0.63,0.59,
2010-01-01..2024-03-31,adjusted,FX,9,0.253,26.2,0.09,0.08,
1985-01-01..2009-12-31,naive,ALL,42,0.812,13.13,0.74,0.73,0.83
1985-01-01..2009-12-31,naive,COM,20,0.5,16.45,0.37,0.36,0.59
1985-01-01..2009-12-31,naive,EQ,4,2.028,35.72,0.67,0.66,1.0
1985-01-01..2009-12-31,naive,FI,9,0.784,32.11,0.29,0.27,1.05
1985-01-01..2009-12-31,naive,FX,9,1.269,26.96,0.57,0.56,0.96
2010-01-01..2016-12-31,naive,ALL,46,0.186,14.68,0.14,0.11,
2010-01-01..2016-12-31,naive,COM,20,0.679,19.58,0.43,0.42,
2010-01-01..2016-12-31,naive,EQ,7,-0.121,24.64,-0.02,-0.03,
2010-01-01..2016-12-31,naive,FI,10,-0.501,24.02,-0.26,-0.31,
2010-01-01..2016-12-31,naive,FX,9,0.035,23.98,-0.01,-0.02,
2010-01-01..2024-03-31,naive,ALL,49,0.328,15.25,0.26,0.22,
2010-01-01..2024-03-31,naive,COM,20,0.364,17.92,0.23,0.22,
2010-01-01..2024-03-31,naive,EQ,9,-0.105,26.33,-0.04,-0.05,
2010-01-01..2024-03-31,naive,FI,11,0.635,29.39,0.23,0.18,
2010-01-01..2024-03-31,naive,FX,9,0.154,25.55,0.05,0.04,
